position,person,personID,start,end
monarch,Elizabeth II,Q9682,1981-11-01,
Governor-General,James Carlisle,Q431167,1993-06-10,2007-06-30
Governor-General,Louise Lake-Tack,Q232610,2007-07-17,2014-08-13
Governor-General,Rodney Williams,Q17566330,2014-08-14,
Prime Minister,Lester Bird,Q365451,1994-03-09,2004-03-24
Prime Minister,Baldwin Spencer,Q57602,2004-03-24,2014-06-13
Prime Minister,Gaston Browne,Q17177542,2014-06-13,
Deputy Prime Minister,Robin Yearwood,Q7352892,2002-09-09,2004
"Minister of Agriculture, Lands, Fisheries and Barbuda Affairs",Dean Jonas,Q20172576,2018-03-22,2020-01-20
"Minister of Agriculture, Lands, Fisheries and Barbuda Affairs",Samantha Marshall,Q20192069,2020-01-20,
"Minister of Education, Science and Technology",Michael Sherwin Harris Browne,Q20171315,2018-03-22,
Minister of Finance,Robin Yearwood,Q7352892,2003,2004
Minister of Finance,Errol Cort,Q5395562,2004,2009
Minister of Finance,Harold Lovell,Q5661574,2009,2014
Minister of Finance,Gaston Browne,Q17177542,2018-03-22,
Minister of Foreign Affairs,Harold Lovell,Q5661574,2004-08,2005-01
Minister of Foreign Affairs,Baldwin Spencer,Q57602,2005-01-06,2014-06-13
Minister of Foreign Affairs,Charles Fernandez,Q20171771,2014-06-18,2018
Minister of Foreign Affairs,Paul Chet Greene,Q20172097,2018-03-22,
"Minister of Health, Wellness & The Environment",Molwyn Joseph,Q16730448,2018-03-22,
"Minister for Housing, Lands and Urban Renewal",Maria Bird-Browne,Q100606338,2018-03-22,
"Minister of Information, Broadcasting, Telecommunications and Information Technology",Melford Nicholas,Q20850520,2018-03-22,
Minister of Investment and Trade,Asot Michael,Q4807601,2018-03-02,2020-05
"Minister of Legal Affairs, Public Safety, and Labour",Steadroy Benjamin,Q7605192,2018-03-22,
"Minister of Public Utilities, Civil Aviation, Transportation",Robin Yearwood,Q7352892,1987-01-01,2004
"Minister of Public Utilities, Civil Aviation, Transportation",Robin Yearwood,Q7352892,2018-03-22,
Minister of Social Transformation and Human Resource Development,Samantha Marshall,Q20192069,2018-03-22,
"Minister of Sports, Culture, National Festivals and the Arts",Daryll Mathew,Q104634506,2018-03-22,
Minister of Tourism and Economic Development,Asot Michael,Q4807601,2014-06-12,2017-10-23
Minister of Tourism and Economic Development,Charles Fernandez,Q20171771,2018-03-22,
Minister of Works,Lennox Weston,Q108319069,2018-03-22,
Attorney General,Steadroy Benjamin,Q7605192,2018-03-22,
Speaker of the House of Representatives,Gerald Watt,Q104642679,2014-06-25,
President of the Senate,Millicent Percival,Q48331998,1994-03-21,2004-02-26
President of the Senate,Edmond Mansoor,Q110124535,2004-03-26,2005-01-05
President of the Senate,Hazelyn Francis,Q16105080,2005-01-07,2014-05-16
President of the Senate,Alincia Williams-Grant,Q48417293,2014-06-25,
ambassador of Antigua and Barbuda,Dario Item,Q108690091,2018-06-21,
